Datestamp,Restaurant visited:,Rating out of 5,App Experience,Pickup Experience,Timing Accuracy,Order Quality
11/24/2015,Big Boy Burger,5,Great,Great,Great,Great
11/24/2015,Big Boy Burger,3,Great,Great,Great,Needs Improvement
11/24/2015,Big Boy Burger,4,Great,Great,Great,Great
11/24/2015,Big Boy Burger,4,Great,Great,Needs Improvement,Great
11/24/2015,Big Boy Burger,4,Great,Great,Great,Great
11/24/2015,Big Boy Burger,4,Great,Needs improvement,Great,Great
11/24/2015,Big Boy Burger,5,Great,Great,Great,Great
11/25/2015,Big Boy Burger,5,Great,Great,Great,Great
11/25/2015,Big Boy Burger,5,Great,Needs improvement,Great,Great
11/25/2015,Big Boy Burger,5,Great,Great,Great,Great
11/26/2015,Big Boy Burger,4,Great,Great,Great,Needs Improvement
11/29/2015,Big Boy Burger,5,Great,Great,Great,Great
12/3/2015,Big Boy Burger,3,Needs improvement,Great,Great,Needs Improvement
12/4/2015,Big Boy Burger,2,Great,Great,Great,Needs Improvement
11/20/2015,Yummy Pita,1,Needs improvement,Needs improvement,Great,Great
11/19/2015,Healthy Choice,4,Great,Great,Needs Improvement,Great
11/19/2015,Healthy Choice,5,Great,Great,Great,Great
11/20/2015,Crepes!,5,Needs improvement,Great,Great,Great
11/23/2015,Crepes!,5,Great,Great,Great,Great
11/23/2015,Crepes!,5,Great,Great,Great,Great
11/23/2015,Crepes!,5,Great,Great,Great,Great
11/23/2015,Crepes!,5,Great,Great,Great,Great
11/24/2015,Crepes!,5,Great,Great,Great,Great
11/25/2015,Crepes!,5,Great,Great,Great,Great
11/25/2015,Crepes!,5,Great,Great,Great,Great
11/27/2015,Crepes!,5,Great,Great,Great,Great
11/27/2015,Crepes!,5,Great,Great,Great,Great
11/27/2015,Crepes!,5,Great,Great,Great,Great
11/30/2015,Crepes!,5,Needs improvement,Great,Great,Great
12/3/2015,Crepes!,5,Great,Great,Great,Great
11/13/2015,Fresh Foods,5,Great,Great,Great,Great
11/16/2015,Fresh Foods,5,Great,Great,Great,Great
11/16/2015,Fresh Foods,5,Great,Great,Great,Great
11/17/2015,Fresh Foods,5,Great,Great,Great,Great
11/20/2015,Fresh Foods,4,Great,Needs improvement,Needs Improvement,Great
11/20/2015,Fresh Foods,5,Great,Great,Great,Great
11/23/2015,Fresh Foods,3,Needs improvement,Great,Great,Needs Improvement
11/23/2015,Fresh Foods,5,Great,Great,Great,Great
11/23/2015,Fresh Foods,5,Great,Great,Great,Great
11/24/2015,Fresh Foods,3,Great,Needs improvement,Great,Needs Improvement
11/24/2015,Fresh Foods,5,Great,Needs improvement,Great,Great
11/24/2015,Fresh Foods,4,Great,Great,Great,Needs Improvement
11/24/2015,Fresh Foods,5,Great,Great,Great,Great
11/24/2015,Fresh Foods,3,Great,Needs improvement,Needs Improvement,Great
11/24/2015,Fresh Foods,3,Needs improvement,Needs improvement,Needs Improvement,Great
11/24/2015,Fresh Foods,5,Needs improvement,Great,Needs Improvement,Great
11/25/2015,Fresh Foods,4,Great,Great,Great,Needs Improvement
12/2/2015,Not So Fresh,5,Great,Great,Great,Great
11/17/2015,Freshy,5,Great,Great,Great,Great
11/17/2015,Freshy,5,Great,Great,Great,Great
11/17/2015,Freshy,4,Great,Great,Great,Great
11/19/2015,Freshy,5,Great,Great,Great,Great
11/20/2015,Freshy,4,Great,Needs improvement,Great,Great
11/12/2015,Gino's,5,Great,Great,Great,Great
11/13/2015,Sweet Treats,2,Great,Needs improvement,Needs Improvement,Great
11/13/2015,Sweet Treats,5,Great,Great,Great,Great
11/16/2015,Sweet Treats,5,Great,Great,Great,Great
11/16/2015,Sweet Treats,5,Needs improvement,Great,Great,Great
11/17/2015,Sweet Treats,5,Great,Great,Great,Great
11/18/2015,Sweet Treats,5,Great,Great,Great,Great
11/18/2015,Sweet Treats,3,Great,Great,Needs Improvement,Great
11/20/2015,Sweet Treats,5,Great,Great,Great,Great
11/18/2015,Baker Haus,5,Great,Great,Great,Great
11/24/2015,Baker Haus,5,Great,Great,Great,Great
11/16/2015,Habanero,1,Needs improvement,Needs improvement,Great,Needs Improvement
11/16/2015,Habanero,5,Great,Great,Great,Great
11/16/2015,Habanero,3,Needs improvement,Great,Great,Great
11/16/2015,Habanero,5,Great,Great,Great,Great
11/17/2015,Habanero,2,Great,Needs improvement,Great,Needs Improvement
11/17/2015,Habanero,2,Needs improvement,Needs improvement,Great,Great
11/18/2015,Habanero,4,Great,Great,Great,Great
11/18/2015,Habanero,3,Great,Needs improvement,Great,Great
11/18/2015,Habanero,2,Great,Needs improvement,Great,Great
11/18/2015,Habanero,5,Great,Needs improvement,Great,Great
11/18/2015,Habanero,1,Needs improvement,Great,Great,Needs Improvement
11/20/2015,Hot Cafe,5,Great,Great,Great,Needs Improvement
11/24/2015,Hot Cafe,4,Great,Great,Great,Great
11/25/2015,Hot Cafe,5,Great,Great,Great,Great
11/28/2015,Hot Cafe,5,Great,Great,Great,Great
11/20/2015,Deli & Bagel,5,Great,Great,Great,Great
11/30/2015,Deli & Bagel,5,Great,Great,Great,Great
11/30/2015,Deli & Bagel,5,Great,Great,Great,Great
11/30/2015,Deli & Bagel,5,Great,Great,Great,Great
12/1/2015,Deli & Bagel,5,Great,Great,Great,Great
12/1/2015,Deli & Bagel,5,Great,Great,Great,Great
12/1/2015,Deli & Bagel,5,Great,Great,Great,Great
12/1/2015,Deli & Bagel,5,Great,Great,Great,Great
12/1/2015,Deli & Bagel,5,Great,Great,Great,Great
12/2/2015,Deli & Bagel,1,Needs improvement,Great,Great,Great
11/19/2015,Superfood Juicery,5,Great,Great,Great,Great
11/19/2015,Superfood Juicery,5,Great,Great,Great,Great
11/19/2015,Superfood Juicery,5,Great,Great,Great,Great
11/19/2015,Superfood Juicery,5,Great,Great,Great,Great
11/20/2015,Superfood Juicery,5,Great,Great,Great,Great
11/20/2015,Superfood Juicery,5,Great,Great,Great,Great
11/20/2015,Superfood Juicery,5,Great,Great,Great,Great
11/20/2015,Superfood Juicery,5,Needs improvement,Great,Great,Great
11/23/2015,Superfood Juicery,5,Great,Great,Great,Great
11/24/2015,Superfood Juicery,5,Great,Great,Great,Great
11/24/2015,Superfood Juicery,5,Great,Great,Great,Great
12/2/2015,Superfood Juicery,5,Great,Great,Great,Great
12/2/2015,Superfood Juicery,5,Great,Great,Great,Great
11/18/2015,Gourmet House,5,Great,Great,Great,Great
11/17/2015,51 Restaurant,3,Needs improvement,Great,Great,Needs Improvement
12/7/2015,51 Restaurant,4,Great,Needs improvement,Great,Great
11/16/2015,Falafel's,2,Great,Needs improvement,Needs Improvement,Great
11/19/2015,Falafel's,5,Great,Great,Great,Great
11/20/2015,Falafel's,5,Great,Great,Great,Great
11/20/2015,Falafel's,5,Great,Needs improvement,Great,Great
11/20/2015,Falafel's,3,Great,Needs improvement,Great,Great
11/23/2015,Falafel's,5,Great,Great,Great,Great
11/25/2015,Falafel's,2,Great,Needs improvement,Needs Improvement,Needs Improvement
11/25/2015,Falafel's,1,Great,Needs improvement,Needs Improvement,Needs Improvement
11/30/2015,Falafel's,4,Great,Needs improvement,Great,Great
11/30/2015,Falafel's,4,Needs improvement,Great,Needs Improvement,Great
12/2/2015,Falafel's,5,Great,Great,Great,Great
12/4/2015,Falafel's,2,Great,Great,Great,Needs Improvement
11/13/2015,Jack's,5,Great,Great,Great,Great
11/23/2015,Jack's,4,Needs improvement,Great,Great,Needs Improvement
11/24/2015,Jack's,2,Great,Great,Great,Needs Improvement
11/25/2015,Jack's,5,Great,Great,Great,Great
12/3/2015,Jiffy Bagels,5,Great,Great,Great,Great
11/25/2015,Jimmy's,5,Great,Great,Great,Great
11/13/2015,Kathmandu Restaurant,3,Great,Needs improvement,Needs Improvement,Needs Improvement
11/24/2015,Kathmandu Restaurant,4,Needs improvement,Great,Great,Great
11/27/2015,Kathmandu Restaurant,3,Great,Great,Great,Great
11/24/2015,Kebab Express,1,Great,Needs improvement,Great,Needs Improvement
11/26/2015,Kebab Express,4,Great,Needs improvement,Needs Improvement,Needs Improvement
11/26/2015,Kebab Express,4,Great,Needs improvement,Great,Needs Improvement
11/26/2015,Kebab Express,2,Needs improvement,Needs improvement,Needs Improvement,Great
11/26/2015,Kebab Express,5,Great,Great,Great,Great
11/27/2015,Kebab Express,4,Great,Needs improvement,Needs Improvement,Great
11/27/2015,Kebab Express,2,Needs improvement,Needs improvement,Needs Improvement,Needs Improvement
12/2/2015,Kebab Express,4,Great,Great,Needs Improvement,Great
11/23/2015,Klay's Kitchen,4,Great,Great,Great,Great
11/23/2015,Klay's Kitchen,5,Great,Great,Great,Great
11/24/2015,Klay's Kitchen,5,Great,Great,Great,Great
11/24/2015,Klay's Kitchen,5,Needs improvement,Great,Great,Great
11/25/2015,Klay's Kitchen,5,Great,Great,Great,Great
12/1/2015,Klay's Kitchen,4,Great,Great,Great,Great
12/3/2015,Klay's Kitchen,4,Great,Great,Great,Great
11/19/2015,Kim's Fresh Foods,5,Great,Great,Great,Great
11/20/2015,Kim's Fresh Foods,5,Great,Great,Great,Great
11/23/2015,Kim's Fresh Foods,5,Great,Great,Great,Great
11/24/2015,Kim's Fresh Foods,1,Needs improvement,Needs improvement,Needs Improvement,Great
11/17/2015,LA Cafe,4,Great,Needs improvement,Great,Great
11/19/2015,LA Cafe,5,Great,Great,Great,Great
11/20/2015,LA Cafe,2,Great,Needs improvement,Needs Improvement,Great
11/20/2015,LA Cafe,2,Great,Needs improvement,Great,Great
11/23/2015,LA Cafe,5,Great,Great,Great,Great
11/19/2015,Little Fish,5,Great,Great,Great,Great
11/19/2015,Little Fish,5,Great,Great,Great,Great
11/20/2015,Little Fish,4,Great,Great,Great,Great
11/22/2015,Little Fish,5,Great,Great,Great,Great
11/22/2015,Little Fish,5,Great,Great,Great,Great
11/19/2015,Loopy Juice,5,Great,Great,Great,Great
11/20/2015,Loopy Juice,5,Great,Great,Great,Great
11/20/2015,Loopy Juice,5,Great,Great,Great,Great
11/20/2015,Loopy Juice,5,Great,Great,Great,Great
11/20/2015,Loopy Juice,5,Great,Great,Great,Great
11/20/2015,Loopy Juice,5,Great,Great,Great,Great
11/23/2015,Loopy Juice,5,Great,Great,Great,Great
11/24/2015,Loopy Juice,5,Great,Great,Great,Great
11/24/2015,Loopy Juice,5,Great,Great,Great,Great
11/25/2015,Loopy Juice,5,Great,Great,Great,Great
11/25/2015,Loopy Juice,5,Great,Great,Great,Great
11/16/2015,Lucy's Bakery,5,Great,Great,Great,Great
11/20/2015,Lucy's Bakery,4,Great,Needs improvement,Great,Great
11/24/2015,Lucy's Bakery,4,Great,Great,Great,Great
12/2/2015,Lucy's Bakery,5,Great,Great,Great,Great
12/2/2015,Lucy's Bakery,5,Great,Great,Great,Great
11/16/2015,Mezza's,3,Needs improvement,Great,Great,Needs Improvement
11/16/2015,Mezza's,5,Great,Great,Great,Great
11/16/2015,Mezza's,3,Needs improvement,Great,Great,Great
11/17/2015,Mezza's,4,Great,Great,Great,Needs Improvement
11/17/2015,Mezza's,4,Great,Great,Great,Needs Improvement
11/17/2015,Mezza's,5,Great,Great,Great,Great
11/17/2015,Mezza's,1,Needs improvement,Needs improvement,Needs Improvement,Needs Improvement
11/18/2015,Mezza's,4,Great,Great,Great,Great
11/18/2015,Mezza's,5,Great,Needs improvement,Great,Great
11/18/2015,Mezza's,5,Needs improvement,Great,Great,Great
11/18/2015,Mezza's,4,Needs improvement,Great,Great,Great
11/18/2015,Mezza's,5,Great,Great,Great,Great
11/18/2015,Mezza's,5,Great,Great,Great,Great
11/18/2015,Mezza's,5,Great,Great,Great,Great
