catcherid,CSAA,CSAA_lb,CSAA_ub
8710,0.012606074189912386,-0.016765634653567396,0.04652554395120451
6081,0.011828885381879484,-0.007459658861897089,0.03299170789173739
3724,0.01154542990534696,-0.017600167687338686,0.04521167863476977
161285,0.011472574167189442,-0.002375430642955756,0.02626368824249653
3010,0.01112468696544372,-0.016825560840845244,0.04322299291015158
2496,0.011061039705255071,-0.006162264385617844,0.029773976815426373
2564,0.010547599442581879,-0.016255540255232015,0.04116369301427386
164007,0.009922862347716832,-0.019072210099678744,0.04346266766230206
1129,0.009073126901239459,-0.018711406377477202,0.0410390333464557
162170,0.00903601922714431,-0.007698607975273719,0.027200879465971106
7849,0.008324227429040598,-0.02158242343968808,0.043171259496373515
6382,0.008074217249349147,-0.02120438565737981,0.042083309636659294
165098,0.007114652338731542,-0.019654620725400196,0.03782150894831743
5023,0.006740048958038147,-0.01655063565050513,0.032965458465715414
93822,0.006166483245907628,-0.007035108087136477,0.020266399989934014
2906,0.006108825300809861,-0.02159331503415629,0.03809439924159452
2831,0.005906689934895515,-0.007529801789129709,0.020277229765395477
10615,0.0030895400629669667,-0.005954512080337093,0.012558488514959776
9847,0.003075304170797044,-0.018830442218176202,0.027654964370026236
5343,0.002573770738859449,-0.010860961784490308,0.016973034047014668
6144,0.0024484119378536118,-0.01739171574817805,0.024470415652321498
168241,0.0020417246966961677,-0.019691112527193744,0.026431930568284023
159064,0.0013445323244419827,-0.012450675198654004,0.016171145173079382
205248,0.0008474225555100134,-0.028476682174766343,0.03529621308594294
160235,0.00013317370115356608,-0.013079046331610278,0.014299846323787446
2079,3.942765048892127e-06,-0.01494797534602843,0.016191686442389885
2303,-0.0023960655970277633,-0.02514479913904316,0.023421419560230805
160096,-0.0027276225881238125,-0.030926482030168678,0.030365561902724603
7045,-0.00280882592390419,-0.029090898252441766,0.02767779935401299
8032,-0.0030212318417588424,-0.016344594543912794,0.011304597666738359
2053,-0.003371281510712254,-0.017688175161166275,0.012113938971113125
320,-0.003453698953698403,-0.029321668206892693,0.026505700502486018
6574,-0.0034626763115291337,-0.014054802933654853,0.007756092988606411
0,-0.003662151022868265,-0.005257366878636316,-0.0020533791259748635
5680,-0.0038396264799591684,-0.024460729126364156,0.019309476018686655
265,-0.004219221195294776,-0.031649168665464356,0.027896308380094437
4860,-0.004253804333206379,-0.023211241194748378,0.016828195047255745
