catcherid,runs_per_7000,runs_per_7000_lb,runs_per_7000_ub,chances
162332,-20.25900960475961,-90.2998784801173,30.38928856080486,84
2303,-21.40384610231741,-64.02621199561035,13.262566259272841,342
14314,-22.906266881552305,-48.02732097446177,-0.735862451865963,480
6378,-23.115957037973132,-95.24546896288578,29.012825549132057,79
1277,-24.150238465591137,-53.18682749380712,1.0536329264676025,420
2143,-26.509543829147013,-45.23308202541632,-9.423295180397721,672
5023,-27.82827630656086,-64.30665861048388,2.963692998936483,363
2079,-28.388380703294366,-54.06074397759012,-5.652701434105965,1606
2060,-29.740632106026936,-47.454923134656106,-13.458708400315281,3309
2831,-31.33044123808278,-55.939076526582966,-9.368141874791618,2227
2187,-31.45187522691479,-101.97455830471374,20.910690634713472,98
9541,-33.0559286135669,-40.09286624300814,-26.24966002918157,3598
3167,-33.11601346485872,-36.52161231291453,-29.765338252000955,1519
6111,-34.29577762508,-43.61230433184312,-25.37508752873914,2291
158409,-36.45521581236858,-50.71831822076763,-23.083276766151027,3679
7817,-36.51688657084141,-59.70783842515539,-15.593084580340419,2532
3414,-37.12138640291775,-44.843645980640744,-29.666470677394482,1771
10540,-37.477244893179424,-41.71284087383033,-33.323097099002986,3998
13375,-37.55218139101693,-56.709570308378666,-19.955065981838437,1114
13359,-39.9786824138445,-47.64880063471813,-32.56603315537633,3288
159648,-40.04508461219375,-86.6303706562962,-1.5899976121876882,239
165285,-41.775997107432396,-61.279705331129776,-23.833119703210404,1518
5547,-43.00830737172594,-83.61303819368227,-8.582108153316124,393
1713,-47.625487230260354,-66.29515003027838,-30.325855668100708,593
4522,-48.219186832846084,-115.81799906541494,4.3180174118068075,133
8251,-50.83460507827991,-82.82490891881093,-22.57959212168494,430
4089,-51.06607145135708,-74.34711415500534,-29.823577909218773,697
2292,-52.68097975724864,-77.10406306039661,-30.464789073054995,1882
204335,-55.61862484956869,-116.68926176160147,-6.498442924332845,179
5241,-56.32266547419219,-79.43547464751688,-35.14206463487861,2834
7045,-60.01820133756059,-127.81928965106735,-6.2425938188304135,137
3053,-60.58781169937186,-80.50030221908241,-42.080239566951704,1606
320,-63.12644707588809,-145.29730514283665,-0.34812328506091955,111
9060,-64.6925260058238,-131.7337187722126,-10.990068598874808,171
2199,-65.03351192077785,-96.11340136224167,-37.14485292886867,2204
4875,-65.93385249940575,-81.25369210471308,-51.4258306817202,995
6049,-66.10809014166719,-76.44513172438137,-56.14658617541016,2763
159433,-66.20845954761492,-66.74386752314636,-65.67409401999473,1162
159675,-67.07390053632426,-75.6907523503981,-58.71764740781831,3393
9222,-70.29286392513184,-94.71686272348225,-47.80814991469397,698
8944,-73.79778483946002,-99.90142430859703,-49.843351431406795,1677
13699,-74.82497448099231,-83.0074168283799,-66.86449841809532,1912
14349,-77.23616318216239,-139.1619755357359,-25.97065138187233,209
4745,-86.71505388962507,-110.1963420905072,-64.83503397441588,600
10156,-90.73852316554881,-159.92588126496955,-33.563713000470315,195
9847,-91.48818253893967,-126.74026686114074,-59.618416656962985,482
4767,-141.77108164391979,-228.88731874540673,-68.2269986029292,144
9039,-181.4504852489278,-265.8792670646189,-107.10171555976602,166
0,-230.96189082459225,-260.9557868901872,-201.92981151375557,836
